"Player","frequency"
"Kobe Bryant",16
"Dirk Nowitzki",13
"LeBron James",13
"Tim Duncan",13
"Dwyane Wade",12
"Kevin Garnett",12
"Chris Bosh",11
"Allen Iverson",10
"Paul Pierce",10
"Carmelo Anthony",9
"Chris Paul",9
"Ray Allen",9
"Dwight Howard",8
"Kevin Durant",8
"Shaquille O'Neal",8
"Steve Nash",8
"Yao Ming",8
"Jason Kidd",7
"Joe Johnson",7
"Tracy McGrady",7
"Vince Carter",7
"Amar'e Stoudemire",6
"Jermaine O'Neal",6
"Pau Gasol",6
"Russell Westbrook",6
"Tony Parker",6
"Blake Griffin",5
"Chauncey Billups",5
"James Harden",5
"LaMarcus Aldridge",5
"Al Horford",4
"Anthony Davis",4
"Ben Wallace",4
"John Wall",4
"Kevin Love",4
"Kyrie Irving",4
"Paul George",4
"Paul Millsap",4
"Rajon Rondo",4
"Shawn Marion",4
"Stephen Curry",4
"Brandon Roy",3
"Chris Webber",3
"DeMar DeRozan",3
"DeMarcus Cousins",3
"Deron Williams",3
"Derrick Rose",3
"Gary Payton",3
"Gilbert Arenas",3
"Jimmy Butler",3
"Klay Thompson",3
"Kyle Lowry",3
"Marc Gasol",3
"Peja Stojakovic",3
"Rasheed Wallace",3
"Richard Hamilton",3
"Steve Francis",3
"Alonzo Mourning",2
"Antawn Jamison",2
"Antoine Walker",2
"Baron Davis",2
"Brad Miller",2
"Carlos Boozer",2
"Caron Butler",2
"Damian Lillard",2
"David Lee",2
"David West",2
"Dikembe Mutombo",2
"Draymond Green",2
"Elton Brand",2
"Grant Hill",2
"Isaiah Thomas",2
"Joakim Noah",2
"Karl Malone",2
"Kawhi Leonard",2
"Luol Deng",2
"Manu Ginobili",2
"Michael Jordan",2
"Rashard Lewis",2
"Roy Hibbert",2
"Stephon Marbury",2
"Zach Randolph",2
"Zydrunas Ilgauskas",2
"Allan Houston",1
"Andre Drummond",1
"Andre Iguodala",1
"Andrei Kirilenko",1
"Andrew Bynum",1
"Anthony Mason",1
"Antonio Davis",1
"Antonio McDyess",1
"Brook Lopez",1
"Chris Kaman",1
"Danny Granger",1
"David Robinson",1
"DeAndre Jordan",1
"Devin Harris",1
"Gerald Wallace",1
"Giannis Antetokounmpo",1
"Glenn Robinson",1
"Gordon Hayward",1
"Jamaal Magloire",1
"Jamal Mashburn",1
"Jameer Nelson",1
"Jeff Teague",1
"Jerry Stackhouse",1
"Josh Howard",1
"Jrue Holiday",1
"Kemba Walker",1
"Kenyon Martin",1
"Kyle Korver",1
"Latrell Sprewell",1
"Mehmet Okur",1
"Metta World Peace",1
"Michael Finley",1
"Michael Redd",1
"Mo Williams",1
"Sam Cassell",1
"Shareef Abdur-Rahim",1
"Theo Ratliff",1
"Tyson Chandler",1
"Vlade Divac",1
"Wally Szczerbiak",1
