"Player","frequency","FG","TP","Points","TotalRebounds","Assists"
"Al Horford",4,0.53,0.339,14.4,8.8,2.8
"Allen Iverson",10,0.425,0.313,26.7,3.7,6.2
"Amar'e Stoudemire",6,0.537,0.236,18.9,7.8,1.2
"Anthony Davis",4,0.513,0.288,21.8,10,1.7
"Blake Griffin",5,0.519,0.266,21.4,9.5,4.1
"Brandon Roy",3,0.459,0.348,18.8,4.3,4.7
"Carmelo Anthony",9,0.452,0.345,24.8,6.6,3.2
"Chauncey Billups",5,0.415,0.387,15.2,2.9,5.4
"Chris Bosh",11,0.494,0.335,19.2,8.5,2
"Chris Paul",9,0.473,0.367,18.7,4.4,9.9
"Chris Webber",3,0.479,0.299,20.7,9.8,4.2
"DeMar DeRozan",3,0.445,0.28,18.8,4,2.7
"DeMarcus Cousins",3,0.459,0.327,20.8,10.7,2.8
"Deron Williams",3,0.444,0.356,16.7,3.1,8.2
"Derrick Rose",3,0.448,0.3,19.5,3.7,6.1
"Dirk Nowitzki",13,0.473,0.381,21.9,7.8,2.5
"Dwight Howard",8,0.583,0.093,17.6,12.7,1.5
"Dwyane Wade",12,0.486,0.288,23.5,4.8,5.7
"Gary Payton",3,0.466,0.317,16.3,3.9,6.7
"Gilbert Arenas",3,0.421,0.351,20.7,3.9,5.3
"James Harden",5,0.443,0.366,21.6,4.8,5.4
"Jason Kidd",7,0.4,0.349,12.6,6.3,8.7
"Jermaine O'Neal",6,0.467,0.147,13.2,7.2,1.4
"Jimmy Butler",3,0.446,0.33,14.8,4.7,2.8
"Joe Johnson",7,0.442,0.372,16.6,4,4.1
"John Wall",4,0.433,0.319,18.4,4.5,9.1
"Kevin Durant",8,0.486,0.38,27.3,7.1,3.7
"Kevin Garnett",12,0.497,0.275,17.8,10,3.7
"Kevin Love",4,0.444,0.366,18.5,11.5,2.4
"Klay Thompson",3,0.452,0.416,18.7,3.3,2.3
"Kobe Bryant",16,0.447,0.329,25,5.2,4.7
"Kyle Lowry",3,0.423,0.364,14,4.1,5.8
"Kyrie Irving",4,0.454,0.382,21.1,3.4,5.5
"LaMarcus Aldridge",5,0.488,0.28,19.2,8.4,1.9
"LeBron James",13,0.498,0.341,27.1,7.2,6.9
"Marc Gasol",3,0.499,0.323,14.7,7.7,3.1
"Pau Gasol",6,0.51,0.322,18,9.5,3.3
"Paul George",4,0.427,0.366,17.4,6.2,3.1
"Paul Millsap",4,0.495,0.331,14,7.5,2.2
"Paul Pierce",10,0.445,0.369,19.8,5.6,3.5
"Peja Stojakovic",3,0.45,0.401,17,4.7,1.8
"Rajon Rondo",4,0.464,0.291,10.8,4.9,8.6
"Rasheed Wallace",3,0.467,0.336,14.4,6.7,1.8
"Ray Allen",9,0.452,0.4,18.9,4.1,3.4
"Richard Hamilton",3,0.449,0.346,17.1,3.1,3.4
"Russell Westbrook",6,0.434,0.307,22.1,5.9,7.8
"Shaquille O'Neal",8,0.582,0.045,23.7,10.9,2.5
"Shawn Marion",4,0.484,0.331,15.2,8.7,1.9
"Stephen Curry",4,0.476,0.44,22.6,4.3,6.8
"Steve Francis",3,0.429,0.341,18.1,5.6,6
"Steve Nash",8,0.49,0.428,14.3,3,8.5
"Tim Duncan",13,0.506,0.179,19,10.8,3
"Tony Parker",6,0.494,0.328,16.4,2.9,5.8
"Tracy McGrady",7,0.435,0.338,19.6,5.6,4.4
"Vince Carter",7,0.438,0.373,18.5,4.6,3.4
"Yao Ming",8,0.524,0.2,19,9.2,1.6
