"Player","FG","TP","Points","TotalRebounds","Assists"
"Ben Simmons",NA,NA,NA,NA,NA
"Brandon Ingram",0.371,0.278,8,4.1,2
"Jaylen Brown",0.441,0.325,4.7,1.9,0.6
"Dragan Bender",0.388,0.317,3.1,2,0.4
"Kris Dunn",0.38,0.294,3.9,2.2,2.5
"Buddy Hield",0.396,0.382,9.2,2.8,1.4
"Jamal Murray",0.373,0.329,8,2.6,1.8
"Marquesse Chriss",0.426,0.313,7.2,3.4,0.6
"Jakob Poeltl",0.436,NA,2.3,3,0.2
"Thon Maker",0.6,0.556,2.3,1.2,0.1
"Domantas Sabonis",0.427,0.375,6.1,3.6,1.2
"Taurean Prince",0.386,0.321,3.5,2.1,0.7
"Georgios Papagiannis",1,NA,1,0.5,0
"Denzel Valentine",0.326,0.328,3.4,1.6,0.6
"Juan Hernangomez",0.448,0.407,3.3,2.4,0.4
"Guerschon Yabusele",NA,NA,NA,NA,NA
"Wade Baldwin",0.313,0.111,3.5,1.4,2.1
"Henry Ellenson",0.294,0.273,1.2,0.9,0.3
"Malik Beasley",0.333,0.308,2.8,0.5,0.3
"Caris LeVert",0.417,0.313,5.8,2.5,1.5
"DeAndre Bembry",0.484,0,2.4,1,0.3
"Malachi Richardson",0.385,0.333,3.4,0.8,0.4
"Ante Zizic",NA,NA,NA,NA,NA
"Timothe Luwawu",0.326,0.286,2.3,1,0.3
"Brice Johnson",NA,NA,NA,NA,NA
"Furkan Korkmaz",NA,NA,NA,NA,NA
"Pascal Siakam",0.503,0,4.8,3.6,0.4
"Skal Labissiere",0.625,NA,3,1.5,0
"Dejounte Murray",0.395,0.429,2.3,0.7,0.8
"Damian Jones",NA,NA,0,0,0
"Deyonta Davis",0.588,NA,2.2,2,0.1
"Ivica Zubac",0.294,NA,2.1,1.3,0.1
"Cheick Diallo",0.485,NA,5.6,3.7,0.3
"Tyler Ulis",0.405,0.375,3.2,0.7,1.4
"Rade Zagorac",NA,NA,NA,NA,NA
"Malcolm Brogdon",0.454,0.424,9.1,2.7,3.9
"Chinanu Onuaku",1,NA,6,3,1
"Patrick McCaw",0.382,0.372,2.7,1.1,0.9
"David Michineau",NA,NA,NA,NA,NA
"Diamond Stone",0.222,NA,1.5,0.8,0
"Stephen Zimmerman",0.455,NA,1.3,1.8,0.1
"Isaiah Whitehead",0.406,0.309,7,2.6,2.9
"Zhou Qi",NA,NA,NA,NA,NA
"Isaia Cordinier",NA,NA,NA,NA,NA
"Demetrius Jackson",0.75,1,2.5,1,0.8
"A.J. Hammons",0.409,0.667,1.4,1.2,0.1
"Jake Layman",0.333,0.265,2.5,0.6,0.3
"Paul Zipser",0.063,0,0.3,1.2,0.4
"Michael Gbinije",0.1,0,0.5,0.4,0.3
"Georges Niang",0.143,0.1,0.7,0.9,0.3
"Ben Bentil",NA,NA,NA,NA,NA
"Joel Bolomboy",0.6,0,0.9,1.1,0.1
"Petr Cornelie",NA,NA,NA,NA,NA
"Kay Felder",0.429,0.333,5.4,1.3,1.6
"Marcus Paige",NA,NA,NA,NA,NA
"Daniel Hamilton",NA,NA,NA,NA,NA
"Wang Zhelin",NA,NA,NA,NA,NA
"Abdel Nader",NA,NA,NA,NA,NA
"Isaiah Cousins",NA,NA,NA,NA,NA
"Tyrone Wallace",NA,NA,NA,NA,NA
"Karl-Anthony Towns",0.52,0.326,19.4,10.8,2.3
"D'Angelo Russell",0.408,0.352,13.8,3.5,3.7
"Jahlil Okafor",0.509,0.167,15.1,6.3,1.2
"Kristaps Porzingis",0.433,0.366,16.1,7.4,1.3
"Mario Hezonja",0.418,0.333,5.4,2,1.1
"Willie Cauley-Stein",0.561,0,6.2,4.3,0.5
"Emmanuel Mudiay",0.366,0.313,12.6,3.5,4.9
"Stanley Johnson",0.37,0.298,6.6,3.5,1.4
"Frank Kaminsky",0.402,0.315,8.4,4.3,1.5
"Justise Winslow",0.4,0.258,7.3,5.2,1.9
"Myles Turner",0.514,0.375,12.4,6.3,0.8
"Trey Lyles",0.425,0.365,7,3.8,0.9
"Devin Booker",0.417,0.34,15.6,2.6,2.8
"Cameron Payne",0.406,0.33,4.9,1.5,1.9
"Kelly Oubre",0.42,0.307,4.5,2.6,0.4
"Terry Rozier",0.34,0.289,3.5,2.3,1.3
"Rashad Vaughn",0.32,0.308,3.3,1.2,0.5
"Sam Dekker",0.482,0.33,6.1,3.8,1
"Jerian Grant",0.389,0.248,5.4,1.8,2.1
"Delon Wright",0.45,0.385,3.8,1.4,1.1
"Justin Anderson",0.399,0.287,5.1,2.8,0.6
"Bobby Portis",0.436,0.356,6.3,4.8,0.8
"Rondae Hollis-Jefferson",0.411,0.261,6.9,4.9,1.7
"Tyus Jones",0.385,0.346,3.9,1.3,2.6
"Jarell Martin",0.42,0.333,4.7,3.7,0.3
"Nikola Milutinov",NA,NA,NA,NA,NA
"Larry Nance Jr.",0.546,0.136,6,5.1,0.9
"R.J. Hunter",0.364,0.297,2.5,1,0.3
"Chris McCullough",0.415,0.359,4.1,2.5,0.3
"Kevon Looney",0.591,0.333,2.6,2.4,0.5
"Cedi Osman",NA,NA,NA,NA,NA
"Montrezl Harrell",0.658,0.333,6.3,2.6,0.7
"Jordan Mickey",0.429,NA,1.7,1.2,0.2
"Anthony Brown",0.317,0.277,3.9,2.5,0.7
"Willy Hernangomez",0.549,0.333,5.4,4.5,0.8
"Rakeem Christmas",0.5,NA,1.8,1,0.3
"Richaun Holmes",0.513,0.234,6,3.1,0.7
"Darrun Hilliard",0.382,0.35,3.8,1.1,0.8
"Juan Pablo Vaulet",NA,NA,NA,NA,NA
"Josh Richardson",0.421,0.378,8.2,2.5,1.9
"Pat Connaughton",0.355,0.292,1.2,0.9,0.3
"Olivier Hanlan",NA,NA,NA,NA,NA
"Joseph Young",0.362,0.203,3.4,1.1,1.3
"Andrew Harrison",0.305,0.24,7,2.4,3.6
"Marcus Thornton",NA,NA,NA,NA,NA
"Norman Powell",0.434,0.392,5.7,2,0.9
"Arturas Gudaitis",NA,NA,NA,NA,NA
"Dakari Johnson",NA,NA,NA,NA,NA
"Aaron White",NA,NA,NA,NA,NA
"Marcus Eriksson",NA,NA,NA,NA,NA
"Tyler Harvey",NA,NA,NA,NA,NA
"Satnam Singh",NA,NA,NA,NA,NA
"Sir'Dominic Pointer",NA,NA,NA,NA,NA
"Dani Diez",NA,NA,NA,NA,NA
"Cady Lalanne",NA,NA,NA,NA,NA
"Branden Dawson",0.4,NA,0.8,0.7,0
"Nikola Radicevic",NA,NA,NA,NA,NA
"J.P. Tokoto",NA,NA,NA,NA,NA
"Dimitrios Agravanis",NA,NA,NA,NA,NA
"Luka Mitrovic",NA,NA,NA,NA,NA
"Andrew Wiggins",0.447,0.316,19.4,4.1,2.1
"Jabari Parker",0.494,0.369,15.5,5.4,2
"Joel Embiid",0.466,0.368,19.4,7.3,2
"Aaron Gordon",0.455,0.3,8.5,5.2,1.4
"Dante Exum",0.365,0.31,5.2,1.7,2.2
"Marcus Smart",0.362,0.3,8.8,3.7,3.4
"Julius Randle",0.449,0.259,12,9.7,2.4
"Nik Stauskas",0.389,0.339,6.9,2,1.5
"Noah Vonleh",0.41,0.282,3.4,3.7,0.3
"Elfrid Payton",0.436,0.29,10.1,3.9,6.3
"Doug McDermott",0.445,0.397,7.9,2.2,0.7
"Dario Saric",0.385,0.341,9.6,5.9,1.6
"Zach LaVine",0.447,0.385,13.7,2.9,3.3
"T.J. Warren",0.49,0.338,10,3,0.8
"Adreian Payne",0.4,0.235,4.2,3.1,0.7
"Jusuf Nurkic",0.462,0,7.8,6.1,1.1
"James Young",0.349,0.253,2.1,1.1,0.4
"Tyler Ennis",0.408,0.313,3.7,1.2,1.9
"Gary Harris",0.438,0.323,9,2.3,1.5
"Bruno Caboclo",0.214,0.308,0.8,0.5,0.2
"Mitch McGary",0.527,0,4.4,3.5,0.3
