"Player","frequency","FG","TP","Points","TotalRebounds","Assists"
"Al Horford",4,0.53,0.339,14.4,8.8,2.8
"Allan Houston",1,0.444,0.402,17.3,2.9,2.4
"Allen Iverson",10,0.425,0.313,26.7,3.7,6.2
"Alonzo Mourning",2,0.527,0.247,17.1,8.5,1.1
"Amar'e Stoudemire",6,0.537,0.236,18.9,7.8,1.2
"Andre Drummond",1,0.551,0.286,13.4,12.7,0.7
"Andre Iguodala",1,0.462,0.333,13.1,5.3,4.5
"Andrei Kirilenko",1,0.474,0.31,11.8,5.5,2.7
"Andrew Bynum",1,0.556,0.111,11.5,7.7,1.2
"Antawn Jamison",2,0.451,0.346,18.5,7.5,1.6
"Anthony Davis",4,0.513,0.288,21.8,10,1.7
"Antoine Walker",2,0.414,0.325,17.5,7.7,3.5
"Antonio Davis",1,0.448,0.087,10,7.5,1.1
"Antonio McDyess",1,0.497,0.117,12,7.5,1.3
"Baron Davis",2,0.409,0.32,16.1,3.8,7.2
"Blake Griffin",5,0.519,0.266,21.4,9.5,4.1
"Brandon Roy",3,0.459,0.348,18.8,4.3,4.7
"Brook Lopez",1,0.508,0.324,18.4,7.2,1.5
"Carlos Boozer",2,0.521,0.071,16.2,9.5,2.2
"Carmelo Anthony",9,0.452,0.345,24.8,6.6,3.2
"Caron Butler",2,0.434,0.348,14.1,5,2.3
"Chauncey Billups",5,0.415,0.387,15.2,2.9,5.4
"Chris Bosh",11,0.494,0.335,19.2,8.5,2
"Chris Kaman",1,0.489,0.042,11.2,7.6,1.3
"Chris Paul",9,0.473,0.367,18.7,4.4,9.9
"Chris Webber",3,0.479,0.299,20.7,9.8,4.2
"Damian Lillard",2,0.429,0.368,21.9,3.9,6.3
"Danny Granger",1,0.434,0.38,16.8,4.9,1.9
"David Lee",2,0.534,0.034,13.9,9,2.2
"David West",2,0.492,0.262,14.4,6.7,2.2
"DeAndre Jordan",1,0.67,0.1,8.9,9.9,0.6
"DeMar DeRozan",3,0.445,0.28,18.8,4,2.7
"DeMarcus Cousins",3,0.459,0.327,20.8,10.7,2.8
"Deron Williams",3,0.444,0.356,16.7,3.1,8.2
"Derrick Rose",3,0.448,0.3,19.5,3.7,6.1
"Devin Harris",1,0.437,0.324,11.5,2.3,4.3
"Dikembe Mutombo",2,0.518,0,9.8,10.3,1
"Dirk Nowitzki",13,0.473,0.381,21.9,7.8,2.5
"Draymond Green",2,0.441,0.34,8.9,6.7,3.8
"Dwight Howard",8,0.583,0.093,17.6,12.7,1.5
