Year,Tm,W,L,R/G,BA,OBP,SLG,OPS
1998,ANA,85,77,4.86,0.272,0.335,0.415,0.7509999999999999
1998,ARI,65,97,4.1,0.24600000000000002,0.314,0.39299999999999996,0.7070000000000001
1998,ATL,106,56,5.1,0.272,0.342,0.45299999999999996,0.795
1998,BAL,79,83,5.04,0.273,0.34700000000000003,0.447,0.794
1998,BOS,92,70,5.41,0.28,0.348,0.46299999999999997,0.81
1998,CHW,80,82,5.28,0.271,0.33899999999999997,0.444,0.782
1998,CHC,90,73,5.1,0.264,0.337,0.433,0.7709999999999999
1998,CIN,77,85,4.63,0.262,0.337,0.402,0.7390000000000001
1998,CLE,89,73,5.25,0.272,0.34700000000000003,0.44799999999999995,0.795
1998,COL,77,85,5.1,0.29100000000000004,0.34700000000000003,0.461,0.8079999999999999
1998,DET,65,97,4.46,0.264,0.32299999999999995,0.415,0.738
1998,FLA,54,108,4.12,0.248,0.317,0.373,0.69
1998,HOU,102,60,5.4,0.28,0.35600000000000004,0.436,0.792
1998,KCR,72,89,4.43,0.263,0.324,0.39899999999999997,0.7240000000000001
1998,LAD,83,79,4.13,0.252,0.31,0.387,0.698
1998,MIL,74,88,4.36,0.26,0.33,0.396,0.726
1998,MIN,70,92,4.53,0.266,0.32799999999999996,0.389,0.7170000000000001
1998,MON,65,97,3.98,0.249,0.31,0.39399999999999996,0.7040000000000001
1998,NYY,114,48,5.96,0.28800000000000003,0.364,0.46,0.825
1998,NYM,88,74,4.36,0.259,0.33,0.39399999999999996,0.7240000000000001
1998,OAK,74,88,4.96,0.257,0.33799999999999997,0.397,0.735
1998,PHI,75,87,4.4,0.264,0.326,0.395,0.721
1998,PIT,69,93,3.99,0.254,0.311,0.374,0.6859999999999999
1998,SDP,98,64,4.62,0.253,0.33,0.409,0.7390000000000001
1998,SEA,76,85,5.34,0.276,0.345,0.46799999999999997,0.812
1998,SFG,89,74,5.18,0.27399999999999997,0.353,0.42100000000000004,0.774
1998,STL,83,79,4.97,0.258,0.341,0.441,0.7809999999999999
1998,TBD,63,99,3.83,0.261,0.321,0.385,0.706
1998,TEX,88,74,5.8,0.289,0.35700000000000004,0.462,0.8190000000000001
1998,TOR,88,74,5.01,0.266,0.34,0.44799999999999995,0.787
1999,ANA,70,92,4.39,0.256,0.322,0.395,0.716
1999,ARI,100,62,5.6,0.27699999999999997,0.34700000000000003,0.45899999999999996,0.805
1999,ATL,103,59,5.19,0.266,0.341,0.436,0.777
1999,BAL,78,84,5.25,0.27899999999999997,0.353,0.447,0.8
1999,BOS,94,68,5.16,0.278,0.35,0.44799999999999995,0.7979999999999999
1999,CHW,75,86,4.8,0.27699999999999997,0.337,0.429,0.7659999999999999
1999,CHC,67,95,4.61,0.257,0.32899999999999996,0.42,0.7490000000000001
1999,CIN,96,67,5.31,0.272,0.341,0.451,0.792
1999,CLE,97,65,6.23,0.289,0.373,0.467,0.84
1999,COL,72,90,5.59,0.28800000000000003,0.348,0.47200000000000003,0.8190000000000001
1999,DET,69,92,4.64,0.261,0.326,0.44299999999999995,0.768
1999,FLA,64,98,4.27,0.263,0.325,0.395,0.7190000000000001
1999,HOU,97,65,5.08,0.267,0.355,0.42,0.775
1999,KCR,64,97,5.32,0.282,0.348,0.433,0.7809999999999999
1999,LAD,77,85,4.9,0.266,0.33899999999999997,0.42,0.76
1999,MIL,74,87,5.06,0.273,0.353,0.426,0.779
1999,MIN,63,97,4.26,0.264,0.32799999999999996,0.384,0.7120000000000001
1999,MON,68,94,4.43,0.265,0.32299999999999995,0.42700000000000005,0.7509999999999999
1999,NYY,98,64,5.56,0.282,0.366,0.45299999999999996,0.8190000000000001
1999,NYM,97,66,5.23,0.27899999999999997,0.363,0.434,0.797
1999,OAK,87,75,5.51,0.259,0.355,0.446,0.8009999999999999
1999,PHI,77,85,5.19,0.275,0.35100000000000003,0.431,0.782
1999,PIT,78,83,4.81,0.259,0.33399999999999996,0.419,0.753
1999,SDP,74,88,4.38,0.252,0.332,0.39299999999999996,0.725
1999,SEA,79,83,5.3,0.26899999999999996,0.34299999999999997,0.455,0.7979999999999999
1999,SFG,86,76,5.38,0.271,0.35600000000000004,0.434,0.79
1999,STL,75,86,5.02,0.262,0.33799999999999997,0.426,0.764
1999,TBD,69,93,4.77,0.27399999999999997,0.34299999999999997,0.41100000000000003,0.754
1999,TEX,95,67,5.83,0.293,0.361,0.479,0.84
1999,TOR,84,78,5.45,0.28,0.35200000000000004,0.457,0.81
2000,ANA,82,80,5.33,0.28,0.35200000000000004,0.47200000000000003,0.825
2000,ARI,85,77,4.89,0.265,0.33299999999999996,0.429,0.763
2000,ATL,95,67,5.0,0.271,0.34600000000000003,0.429,0.775
2000,BAL,74,88,4.9,0.272,0.341,0.435,0.7759999999999999
2000,BOS,85,77,4.89,0.267,0.341,0.423,0.764
2000,CHW,95,67,6.04,0.28600000000000003,0.35600000000000004,0.47,0.826
2000,CHC,65,97,4.72,0.256,0.335,0.41100000000000003,0.746
2000,CIN,85,77,5.06,0.27399999999999997,0.34299999999999997,0.447,0.79
2000,CLE,90,72,5.86,0.28800000000000003,0.36700000000000005,0.47,0.8370000000000001
2000,COL,82,80,5.98,0.294,0.36200000000000004,0.455,0.816
2000,DET,79,83,5.08,0.275,0.34299999999999997,0.43799999999999994,0.7809999999999999
