Year,Tm,W,L,R/G,BA,OBP,SLG,OPS,ADV
1998,ANA,85,77,4.86,0.272,0.335,0.415,0.751,0
1998,ARI,65,97,4.1,0.246,0.314,0.393,0.707,0
1998,ATL,106,56,5.1,0.272,0.342,0.453,0.795,1
1998,BAL,79,83,5.04,0.273,0.347,0.447,0.794,0
1998,BOS,92,70,5.41,0.28,0.348,0.463,0.81,1
1998,CHW,80,82,5.28,0.271,0.339,0.444,0.782,1
1998,CHC,90,73,5.1,0.264,0.337,0.433,0.771,0
1998,CIN,77,85,4.63,0.262,0.337,0.402,0.739,0
1998,CLE,89,73,5.25,0.272,0.347,0.448,0.795,1
1998,COL,77,85,5.1,0.291,0.347,0.461,0.808,0
1998,DET,65,97,4.46,0.264,0.323,0.415,0.738,0
1998,FLA,54,108,4.12,0.248,0.317,0.373,0.69,0
1998,HOU,102,60,5.4,0.28,0.356,0.436,0.792,1
1998,KCR,72,89,4.43,0.263,0.324,0.399,0.724,0
1998,LAD,83,79,4.13,0.252,0.31,0.387,0.698,0
1998,MIL,74,88,4.36,0.26,0.33,0.396,0.726,0
1998,MIN,70,92,4.53,0.266,0.328,0.389,0.717,0
1998,MON,65,97,3.98,0.249,0.31,0.394,0.704,0
1998,NYY,114,48,5.96,0.288,0.364,0.46,0.825,0
1998,NYM,88,74,4.36,0.259,0.33,0.394,0.724,1
1998,OAK,74,88,4.96,0.257,0.338,0.397,0.735,0
1998,PHI,75,87,4.4,0.264,0.326,0.395,0.721,0
1998,PIT,69,93,3.99,0.254,0.311,0.374,0.686,0
1998,SDP,98,64,4.62,0.253,0.33,0.409,0.739,1
1998,SEA,76,85,5.34,0.276,0.345,0.468,0.812,0
1998,SFG,89,74,5.18,0.274,0.353,0.421,0.774,0
1998,STL,83,79,4.97,0.258,0.341,0.441,0.781,0
1998,TBD,63,99,3.83,0.261,0.321,0.385,0.706,0
1998,TEX,88,74,5.8,0.289,0.357,0.462,0.819,1
1998,TOR,88,74,5.01,0.266,0.34,0.448,0.787,0
1999,ANA,70,92,4.39,0.256,0.322,0.395,0.716,0
1999,ARI,100,62,5.6,0.277,0.347,0.459,0.805,1
1999,ATL,103,59,5.19,0.266,0.341,0.436,0.777,1
1999,BAL,78,84,5.25,0.279,0.353,0.447,0.8,0
1999,BOS,94,68,5.16,0.278,0.35,0.448,0.798,1
1999,CHW,75,86,4.8,0.277,0.337,0.429,0.766,0
1999,CHC,67,95,4.61,0.257,0.329,0.42,0.749,0
1999,CIN,96,67,5.31,0.272,0.341,0.451,0.792,0
1999,CLE,97,65,6.23,0.289,0.373,0.467,0.84,1
1999,COL,72,90,5.59,0.288,0.348,0.472,0.819,0
1999,DET,69,92,4.64,0.261,0.326,0.443,0.768,0
1999,FLA,64,98,4.27,0.263,0.325,0.395,0.719,0
1999,HOU,97,65,5.08,0.267,0.355,0.42,0.775,1
1999,KCR,64,97,5.32,0.282,0.348,0.433,0.781,0
1999,LAD,77,85,4.9,0.266,0.339,0.42,0.76,0
1999,MIL,74,87,5.06,0.273,0.353,0.426,0.779,0
1999,MIN,63,97,4.26,0.264,0.328,0.384,0.712,0
1999,MON,68,94,4.43,0.265,0.323,0.427,0.751,0
1999,NYY,98,64,5.56,0.282,0.366,0.453,0.819,1
1999,NYM,97,66,5.23,0.279,0.363,0.434,0.797,1
1999,OAK,87,75,5.51,0.259,0.355,0.446,0.801,0
1999,PHI,77,85,5.19,0.275,0.351,0.431,0.782,0
1999,PIT,78,83,4.81,0.259,0.334,0.419,0.753,0
1999,SDP,74,88,4.38,0.252,0.332,0.393,0.725,0
1999,SEA,79,83,5.3,0.269,0.343,0.455,0.798,0
1999,SFG,86,76,5.38,0.271,0.356,0.434,0.79,0
1999,STL,75,86,5.02,0.262,0.338,0.426,0.764,0
1999,TBD,69,93,4.77,0.274,0.343,0.411,0.754,0
1999,TEX,95,67,5.83,0.293,0.361,0.479,0.84,1
1999,TOR,84,78,5.45,0.28,0.352,0.457,0.81,0
2000,ANA,82,80,5.33,0.28,0.352,0.472,0.825,0
2000,ARI,85,77,4.89,0.265,0.333,0.429,0.763,0
2000,ATL,95,67,5,0.271,0.346,0.429,0.775,1
2000,BAL,74,88,4.9,0.272,0.341,0.435,0.776,0
2000,BOS,85,77,4.89,0.267,0.341,0.423,0.764,0
2000,CHW,95,67,6.04,0.286,0.356,0.47,0.826,0
2000,CHC,65,97,4.72,0.256,0.335,0.411,0.746,1
2000,CIN,85,77,5.06,0.274,0.343,0.447,0.79,0
2000,CLE,90,72,5.86,0.288,0.367,0.47,0.837,0
2000,COL,82,80,5.98,0.294,0.362,0.455,0.816,0
2000,DET,79,83,5.08,0.275,0.343,0.438,0.781,0
2000,FLA,79,82,4.54,0.262,0.331,0.409,0.74,0
2000,HOU,72,90,5.79,0.278,0.361,0.477,0.837,0
2000,KCR,77,85,5.43,0.288,0.348,0.425,0.773,0
2000,LAD,86,76,4.93,0.257,0.341,0.431,0.771,0
2000,MIL,73,89,4.54,0.246,0.325,0.403,0.729,0
2000,MIN,69,93,4.62,0.27,0.337,0.407,0.744,0
2000,MON,67,95,4.56,0.266,0.326,0.432,0.758,0
2000,NYY,87,74,5.41,0.277,0.354,0.45,0.804,1
2000,NYM,94,68,4.98,0.263,0.346,0.43,0.776,1
2000,OAK,91,70,5.88,0.27,0.36,0.458,0.817,1
2000,PHI,65,97,4.37,0.251,0.329,0.4,0.729,0
2000,PIT,69,93,4.9,0.267,0.339,0.424,0.762,0
2000,SDP,76,86,4.64,0.254,0.33,0.402,0.732,0
2000,SEA,91,71,5.6,0.269,0.361,0.442,0.803,1
2000,SFG,97,65,5.71,0.278,0.362,0.472,0.834,1
2000,STL,95,67,5.48,0.27,0.356,0.455,0.812,1
2000,TBD,69,92,4.55,0.257,0.329,0.399,0.728,0
2000,TEX,71,91,5.23,0.283,0.352,0.446,0.798,0
2000,TOR,83,79,5.31,0.275,0.341,0.469,0.81,0
2001,ANA,75,87,4.27,0.261,0.327,0.405,0.732,0
2001,ARI,92,70,5.05,0.267,0.341,0.442,0.783,1
2001,ATL,88,74,4.5,0.26,0.324,0.412,0.736,1
2001,BAL,63,98,4.24,0.248,0.319,0.38,0.699,0
2001,BOS,82,79,4.8,0.266,0.334,0.439,0.773,0
2001,CHW,83,79,4.93,0.268,0.334,0.451,0.785,0
2001,CHC,88,74,4.8,0.261,0.336,0.43,0.766,0
2001,CIN,66,96,4.54,0.262,0.324,0.419,0.744,0
2001,CLE,91,71,5.54,0.278,0.35,0.458,0.807,1
2001,COL,73,89,5.7,0.292,0.354,0.483,0.837,0
2001,DET,66,96,4.47,0.26,0.32,0.409,0.73,0
2001,FLA,76,86,4.58,0.264,0.326,0.423,0.749,0
2001,HOU,93,69,5.23,0.271,0.347,0.451,0.798,1
2001,KCR,65,97,4.5,0.266,0.318,0.409,0.727,0
2001,LAD,86,76,4.68,0.255,0.323,0.425,0.748,0
2001,MIL,68,94,4.57,0.251,0.319,0.426,0.745,0
2001,MIN,85,77,4.76,0.272,0.337,0.433,0.77,0
2001,MON,68,94,4.14,0.253,0.319,0.396,0.715,0
2001,NYY,95,65,4.99,0.267,0.334,0.435,0.769,0
2001,NYM,82,80,3.96,0.249,0.323,0.387,0.71,1
2001,OAK,102,60,5.46,0.264,0.345,0.439,0.784,1
2001,PHI,86,76,4.6,0.26,0.329,0.414,0.743,0
2001,PIT,62,100,4.06,0.247,0.313,0.393,0.706,0
2001,SDP,79,83,4.87,0.252,0.336,0.399,0.735,0
2001,SEA,116,46,5.72,0.288,0.36,0.445,0.805,1
2001,SFG,90,72,4.93,0.266,0.342,0.46,0.802,0
2001,STL,93,69,5.02,0.27,0.339,0.441,0.78,1
2001,TBD,62,100,4.15,0.258,0.32,0.388,0.707,0
2001,TEX,73,89,5.49,0.275,0.344,0.471,0.815,0
2001,TOR,80,82,4.73,0.263,0.325,0.43,0.755,0
2002,ANA,99,63,5.25,0.282,0.341,0.433,0.773,1
2002,ARI,98,64,5.06,0.267,0.346,0.423,0.769,1
2002,ATL,101,59,4.4,0.26,0.331,0.409,0.741,1
2002,BAL,67,95,4.12,0.246,0.309,0.403,0.712,0
2002,BOS,93,69,5.3,0.277,0.345,0.444,0.789,0
2002,CHW,81,81,5.28,0.268,0.338,0.449,0.787,0
2002,CHC,67,95,4.36,0.246,0.321,0.413,0.734,0
2002,CIN,78,84,4.38,0.253,0.33,0.408,0.738,0
2002,CLE,74,88,4.56,0.249,0.321,0.412,0.733,0
2002,COL,73,89,4.8,0.274,0.337,0.423,0.76,0
2002,DET,55,106,3.57,0.248,0.3,0.379,0.679,0
2002,FLA,79,83,4.31,0.261,0.337,0.403,0.74,0
2002,HOU,84,78,4.62,0.262,0.338,0.417,0.755,0
2002,KCR,62,100,4.55,0.256,0.323,0.398,0.721,0
2002,LAD,92,70,4.4,0.264,0.32,0.409,0.729,0
2002,MIL,56,106,3.87,0.253,0.32,0.39,0.711,0
2002,MIN,94,67,4.77,0.272,0.332,0.437,0.769,1
2002,MON,83,79,4.54,0.261,0.334,0.418,0.752,0
2002,NYY,103,58,5.57,0.275,0.354,0.455,0.809,0
2002,NYM,75,86,4.29,0.256,0.322,0.395,0.717,1
2002,OAK,103,59,4.94,0.261,0.339,0.432,0.771,1
2002,PHI,80,81,4.41,0.259,0.339,0.422,0.761,0
2002,PIT,72,89,3.98,0.244,0.319,0.381,0.7,0
2002,SDP,66,96,4.09,0.253,0.321,0.381,0.702,0
2002,SEA,93,69,5.02,0.275,0.35,0.419,0.769,0
2002,SFG,95,66,4.83,0.267,0.344,0.442,0.786,1
2002,STL,97,65,4.86,0.268,0.338,0.425,0.763,1
2002,TBD,55,106,4.18,0.253,0.314,0.39,0.704,0
2002,TEX,72,90,5.2,0.269,0.338,0.455,0.794,0
2002,TOR,78,84,5.02,0.261,0.327,0.43,0.757,0
2003,ANA,77,85,4.54,0.268,0.33,0.413,0.743,0
2003,ARI,84,78,4.43,0.263,0.33,0.417,0.746,0
2003,ATL,101,61,5.6,0.284,0.349,0.475,0.824,1
2003,BAL,71,91,4.56,0.268,0.323,0.405,0.729,0
2003,BOS,95,67,5.93,0.289,0.36,0.491,0.851,1
2003,CHW,86,76,4.88,0.263,0.331,0.446,0.777,1
2003,CHC,88,74,4.47,0.259,0.323,0.416,0.739,0
2003,CIN,69,93,4.28,0.245,0.318,0.395,0.713,0
2003,CLE,68,94,4.31,0.254,0.316,0.401,0.717,0
2003,COL,74,88,5.27,0.267,0.344,0.445,0.79,0
2003,DET,43,119,3.65,0.24,0.3,0.375,0.675,0
2003,FLA,91,71,4.64,0.266,0.333,0.421,0.754,1
2003,HOU,87,75,4.97,0.263,0.336,0.431,0.767,0
2003,KCR,83,79,5.16,0.274,0.336,0.427,0.763,0
2003,LAD,85,77,3.54,0.243,0.303,0.368,0.671,0
2003,MIL,68,94,4.41,0.256,0.329,0.419,0.748,0
2003,MIN,90,72,4.94,0.277,0.341,0.431,0.772,1
2003,MON,83,79,4.39,0.258,0.326,0.401,0.727,0
2003,NYY,101,61,5.38,0.271,0.356,0.453,0.81,0
2003,NYM,66,95,3.99,0.247,0.314,0.374,0.688,1
2003,OAK,96,66,4.74,0.254,0.327,0.417,0.743,1
2003,PHI,86,76,4.88,0.261,0.343,0.419,0.762,0
2003,PIT,75,87,4.65,0.267,0.338,0.42,0.758,0
2003,SDP,64,98,4.19,0.261,0.333,0.388,0.721,0
2003,SEA,93,69,4.91,0.271,0.344,0.41,0.754,0
2003,SFG,100,61,4.69,0.264,0.338,0.425,0.763,1
2003,STL,85,77,5.41,0.279,0.35,0.454,0.804,0
2003,TBD,63,99,4.41,0.265,0.32,0.404,0.724,0
2003,TEX,71,91,5.1,0.266,0.33,0.454,0.784,0
2003,TOR,86,76,5.52,0.279,0.349,0.455,0.803,0
2004,ANA,92,70,5.16,0.282,0.341,0.429,0.77,1
2004,ARI,51,111,3.8,0.253,0.31,0.393,0.703,0
2004,ATL,96,66,4.96,0.27,0.343,0.434,0.777,1
2004,BAL,78,84,5.2,0.281,0.345,0.432,0.776,0
2004,BOS,98,64,5.86,0.282,0.36,0.472,0.832,1
2004,CHW,83,79,5.34,0.268,0.333,0.457,0.79,0
2004,CHC,89,73,4.87,0.268,0.328,0.458,0.786,0
2004,CIN,76,86,4.63,0.25,0.331,0.418,0.749,0
2004,CLE,80,82,5.3,0.276,0.351,0.444,0.795,0
2004,COL,68,94,5.14,0.275,0.345,0.455,0.8,0
2004,DET,72,90,5.1,0.272,0.337,0.449,0.786,0
2004,FLA,83,79,4.43,0.264,0.329,0.406,0.736,0
2004,HOU,92,70,4.96,0.267,0.342,0.436,0.778,1
2004,KCR,58,104,4.44,0.259,0.322,0.397,0.72,0
2004,LAD,93,69,4.7,0.262,0.332,0.423,0.755,1
2004,MIL,67,94,3.94,0.248,0.321,0.387,0.708,0
2004,MIN,92,70,4.81,0.266,0.332,0.431,0.763,1
2004,MON,67,95,3.92,0.249,0.313,0.392,0.705,0
2004,NYY,101,61,5.54,0.268,0.353,0.458,0.811,0
2004,NYM,71,91,4.22,0.249,0.317,0.409,0.726,1
2004,OAK,91,71,4.9,0.27,0.343,0.433,0.776,0
2004,PHI,86,76,5.19,0.267,0.345,0.443,0.788,0
2004,PIT,72,89,4.22,0.26,0.321,0.401,0.722,0
2004,SDP,87,75,4.74,0.273,0.342,0.414,0.756,0
2004,SEA,63,99,4.31,0.27,0.331,0.396,0.727,0
2004,SFG,91,71,5.25,0.27,0.357,0.438,0.795,0
2004,STL,105,57,5.28,0.278,0.344,0.46,0.804,1
2004,TBD,70,91,4.43,0.258,0.32,0.405,0.725,0
2004,TEX,89,73,5.31,0.266,0.329,0.457,0.786,0
2004,TOR,67,94,4.47,0.26,0.328,0.403,0.732,0
2005,ARI,77,85,4.3,0.256,0.332,0.421,0.754,0
2005,ATL,90,72,4.75,0.265,0.333,0.435,0.768,1
2005,BAL,74,88,4.5,0.269,0.327,0.434,0.761,0
2005,BOS,95,67,5.62,0.281,0.357,0.454,0.811,1
2005,CHW,99,63,4.57,0.262,0.322,0.425,0.747,0
